,zipcode,price,accommodates,bathrooms,bedrooms,beds,bed_type,host_is_superhost,host_identity_verified,property_type,room_type,cancellation_policy,instant_bookable,calculated_host_listings_count,host_total_listings_count,number_of_reviews,minimum_nights,city,comfort,availability_30,availability_60,availability_90,availability_365
3216,20017,99.0,2,1.0,0.0,1.0,Real Bed,f,t,House,Entire home/apt,strict,f,1,1,46,2,Washington,2.0,12,27,49,49
3217,20017,70.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,strict,f,1,1,0,1,Washington,2.0,30,60,90,365
3218,20018,101.0,3,1.0,1.0,1.0,Real Bed,f,f,Apartment,Entire home/apt,flexible,f,1,1,4,1,Washington,3.0,13,43,73,348
3219,20018,99.0,3,1.0,0.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,45,2,Washington,3.0,13,28,28,301
3220,20018,119.0,5,1.0,2.0,3.0,Real Bed,t,t,Apartment,Entire home/apt,moderate,f,1,1,78,2,Washington,1.6666666666666667,4,32,62,334
3221,20017,100.0,6,1.0,1.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,strict,f,22,25,20,3,Washington,3.0,12,35,65,340
3222,20018,1400.0,6,3.5,3.0,3.0,Real Bed,f,t,House,Entire home/apt,strict,f,1,1,0,2,Washington,2.0,0,0,0,0
3223,20017,175.0,6,1.0,2.0,3.0,Real Bed,f,f,Apartment,Entire home/apt,strict,f,3,4,0,4,Washington,2.0,30,60,90,365
3224,20018,220.0,8,2.5,3.0,4.0,Real Bed,f,t,House,Entire home/apt,flexible,f,3,3,6,1,Washington,2.0,0,0,9,66
3225,20017,60.0,1,1.0,1.0,1.0,Real Bed,f,f,House,Private room,flexible,f,1,1,0,1,Washington,1.0,23,53,83,358
3226,20017,91.0,3,1.0,0.0,1.0,Real Bed,t,t,Apartment,Entire home/apt,moderate,f,1,1,19,2,Washington,3.0,13,29,48,48
3227,20017,160.0,4,1.0,2.0,2.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,2,2,0,1,Washington,2.0,3,31,61,336
3228,20017,110.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,2,2,0,1,Washington,2.0,22,52,82,357
3229,20017,75.0,3,1.0,1.0,2.0,Real Bed,t,t,Apartment,Entire home/apt,strict,f,1,1,29,2,Washington,1.5,0,8,22,102
3230,20017,65.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,strict,f,1,1,18,2,Washington,2.0,7,7,33,33
3231,20018,500.0,2,1.5,1.0,1.0,Real Bed,f,f,House,Private room,flexible,f,1,1,0,1,Washington,2.0,0,0,0,0
3232,20018,100.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,5,2,Washington,2.0,3,33,63,63
3233,20017,79.0,2,1.0,1.0,1.0,Real Bed,f,f,Bed & Breakfast,Private room,flexible,f,3,3,5,1,Washington,2.0,0,0,27,302
3234,20018,80.0,1,1.5,1.0,1.0,Real Bed,f,f,House,Private room,flexible,f,1,1,0,1,Washington,1.0,30,60,90,324
3235,20018,55.0,2,1.5,1.0,1.0,Real Bed,f,t,Townhouse,Private room,flexible,f,2,2,0,2,Washington,2.0,13,33,48,319
3236,20018,65.0,2,1.0,1.0,1.0,Real Bed,f,t,House,Private room,moderate,f,4,4,25,2,Washington,2.0,19,49,79,354
3237,20018,70.0,3,1.0,1.0,2.0,Real Bed,f,t,House,Entire home/apt,flexible,f,1,1,2,1,Washington,1.5,0,30,60,150
3238,20018,185.0,2,1.0,1.0,1.0,Real Bed,f,f,House,Private room,flexible,f,3,3,0,1,Washington,2.0,0,0,0,3
3239,20018,75.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,Entire home/apt,moderate,f,1,1,0,2,Washington,2.0,0,0,0,153
3240,20018,85.0,2,2.0,1.0,2.0,Real Bed,f,t,House,Private room,strict,t,2,3,3,1,Washington,1.0,0,0,18,293
