,id,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,minimum_nights,maximum_nights,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,host_since_year,host_response_rate_buckets,host_verifications_email,host_verifications_ phone,host_verifications_ reviews,host_verifications_ jumio,host_verifications_ facebook,host_verifications_ kba,host_verifications_ linkedin,host_verifications_ google,host_verifications_phone,host_verifications_ manual_offline,amenities_Air Conditioning,amenities_Heating,amenities_Wireless Internet,amenities_Kitchen,amenities_Smoke Detector,amenities_Washer,amenities_Dryer,amenities_Internet,amenities_Essentials,amenities_TV,extra_people_fee
35,495042,within a few hours,f,2,t,f,Townhouse,Private room,6,1.0,1.0,3.0,Real Bed,79.0,1,1,365,21,69,91.0,9.0,10.0,10.0,10.0,9.0,9.0,f,strict,f,f,2,2011,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,7220873,within a few hours,f,1,t,t,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,110.0,1,1,1125,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,f,f,1,2015,2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
37,7524042,within a few hours,f,3,t,f,Dorm,Shared room,6,1.0,1.0,6.0,Real Bed,38.0,1,1,1125,28,2,93.42626970227671,9.540730337078651,9.330874604847208,9.71092377941693,9.752718344440547,9.38618028761838,9.323395299894774,t,flexible,f,f,3,2015,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
38,5990979,within a day,f,30,t,t,House,Entire home/apt,9,2.5,3.0,5.0,Real Bed,480.0,6,3,1125,7,5,95.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,f,f,27,2013,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,1086168,within a day,f,1,t,t,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,372.0,4,3,1125,1,33,96.0,10.0,9.0,10.0,10.0,10.0,9.0,f,moderate,f,f,1,2013,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,6688513,within an hour,f,1,t,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,125.0,2,1,30,9,11,93.0,9.0,9.0,9.0,10.0,9.0,9.0,t,flexible,f,f,1,2014,2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
41,3890477,within an hour,f,1,t,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,89.0,1,1,1125,12,3,93.0,9.0,9.0,10.0,10.0,10.0,10.0,f,moderate,f,f,1,2011,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
42,6262632,a few days or more,f,2,t,t,Apartment,Shared room,1,1.0,1.0,1.0,Airbed,80.0,1,1,1125,25,5,96.0,9.0,9.0,9.0,10.0,10.0,9.0,f,moderate,f,f,2,2014,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
43,1519460,within a day,f,30,t,t,Apartment,Entire home/apt,5,1.0,0.0,3.0,Real Bed,90.0,1,3,999,11,29,91.0,10.0,9.0,9.0,9.0,9.0,9.0,f,strict,f,f,27,2013,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
44,5173258,within a few hours,f,4,t,t,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,110.0,0,2,1125,13,32,84.0,9.0,8.0,8.0,8.0,9.0,9.0,f,flexible,t,t,4,2013,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
45,3985441,within a day,f,1,t,t,Apartment,Entire home/apt,3,1.0,2.0,3.0,Real Bed,100.0,1,3,1125,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict,f,f,1,2014,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,5089898,within an hour,f,1,t,t,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,250.0,4,1,100,3,15,97.0,10.0,9.0,10.0,10.0,10.0,9.0,f,strict,f,f,1,2014,2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,7150515,within an hour,f,5,t,t,House,Private room,1,1.0,1.0,1.0,Real Bed,55.0,1,1,1125,30,0,93.42626970227671,9.540730337078651,9.330874604847208,9.71092377941693,9.752718344440547,9.38618028761838,9.323395299894774,f,strict,f,f,5,2012,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
48,7132107,within an hour,f,5,t,t,House,Private room,3,1.0,1.0,2.0,Real Bed,55.0,1,1,1125,27,5,84.0,10.0,8.0,10.0,9.0,6.0,8.0,f,strict,f,f,5,2012,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
50,8473096,within an hour,f,5,t,t,House,Private room,1,1.0,1.0,1.0,Futon,35.0,1,1,1125,25,0,93.42626970227671,9.540730337078651,9.330874604847208,9.71092377941693,9.752718344440547,9.38618028761838,9.323395299894774,f,strict,f,f,5,2012,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
