,zipcode,price,accommodates,bathrooms,bedrooms,beds,bed_type,host_is_superhost,host_identity_verified,property_type,cancellation_policy,instant_bookable,calculated_host_listings_count,host_total_listings_count,number_of_reviews,minimum_nights,city,comfort,availability_30,availability_60,availability_90,availability_365
1919,20020,51.0,2,1.0,1.0,1.0,Real Bed,f,t,House,moderate,f,4,4,35,3,Washington,2.0,16,16,16,290
1920,20020,68.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,2,1,Washington,2.0,28,58,88,363
1922,20020,75.0,3,1.0,1.0,1.0,Pull-out Sofa,f,f,House,moderate,f,2,2,25,2,Washington,3.0,30,60,90,365
1923,20020,76.0,4,1.0,1.0,2.0,Real Bed,f,f,Apartment,strict,t,8,8,26,1,Washington,2.0,18,48,78,353
1924,20020,71.0,4,1.0,1.0,2.0,Real Bed,f,f,Apartment,strict,f,8,8,46,1,Washington,2.0,14,43,73,163
1925,20020,90.0,3,1.0,1.0,2.0,Real Bed,f,t,House,strict,f,2,2,7,3,Washington,1.5,1,31,61,336
1926,20020,60.0,1,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,2,2,0,2,Washington,1.0,1,31,49,49
1927,20020,75.0,2,1.5,1.0,1.0,Real Bed,f,t,House,moderate,f,1,1,19,2,Washington,2.0,17,47,77,352
1928,20020,76.0,1,1.5,1.0,1.0,Airbed,f,t,House,strict,f,2,2,1,3,Washington,1.0,0,0,13,288
1929,20020,49.0,1,1.0,1.0,1.0,Real Bed,f,t,House,strict,f,8,8,0,1,Washington,1.0,28,58,88,363
1930,20020,59.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,strict,t,8,8,19,1,Washington,2.0,23,53,83,358
1931,20020,50.0,1,2.0,1.0,1.0,Real Bed,f,t,House,moderate,f,2,2,24,1,Washington,1.0,19,49,75,350
1932,20020,53.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,strict,t,8,8,8,1,Washington,2.0,30,60,90,365
1933,20020,70.0,2,2.0,1.0,1.0,Real Bed,t,t,House,moderate,f,1,1,49,2,Washington,2.0,20,46,76,351
1934,20020,41.0,1,1.0,1.0,1.0,Real Bed,f,f,Apartment,strict,f,8,8,12,1,Washington,1.0,24,54,84,359
1935,20020,65.0,2,1.0,1.0,1.0,Real Bed,f,t,House,moderate,f,2,2,10,3,Washington,2.0,30,60,90,365
1936,20020,45.0,1,1.0,1.0,1.0,Real Bed,f,t,House,moderate,f,4,4,24,3,Washington,1.0,10,10,10,285
1937,20020,56.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,strict,t,8,8,31,1,Washington,2.0,14,44,71,215
1938,20020,65.0,2,1.0,1.0,2.0,Real Bed,f,f,House,moderate,f,2,2,60,1,Washington,1.0,23,53,83,358
1939,20020,65.0,2,2.0,1.0,1.0,Real Bed,f,t,House,moderate,f,2,2,57,1,Washington,2.0,16,46,72,347
1940,20020,28.0,2,1.0,1.0,1.0,Real Bed,f,f,House,strict,f,1,1,1,3,Washington,2.0,1,31,61,336
1943,20020,49.0,1,1.0,1.0,1.0,Futon,f,t,House,flexible,f,1,1,7,1,Washington,1.0,30,60,90,365
1944,20020,100.0,2,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,1,1,0,1,Washington,2.0,30,60,90,365
1948,20020,80.0,3,2.0,1.0,2.0,Airbed,f,f,Apartment,moderate,f,2,2,1,5,Washington,1.5,0,0,25,300
1950,20020,40.0,1,1.0,1.0,1.0,Real Bed,f,t,House,moderate,f,4,4,0,3,Washington,1.0,7,33,63,338
1952,20020,75.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,f,1,1,1,1,Washington,2.0,1,31,61,336
1953,20020,100.0,3,1.0,1.0,1.0,Real Bed,f,f,Apartment,moderate,f,2,2,3,5,Washington,3.0,0,30,60,335
1954,20020,59.0,3,1.0,1.0,2.0,Real Bed,t,t,House,moderate,f,2,2,10,1,Washington,1.5,20,50,80,355
1956,20020,69.0,2,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,8,8,0,1,Washington,2.0,28,58,88,178
1957,20020,60.0,2,2.0,1.0,1.0,Real Bed,f,t,House,strict,t,6,6,48,1,Washington,2.0,20,46,46,46
1958,20020,54.0,2,2.0,1.0,1.0,Real Bed,f,t,House,strict,t,6,6,50,2,Washington,2.0,20,45,45,45
1960,20020,50.0,2,1.0,1.0,1.0,Real Bed,f,t,House,strict,t,6,6,58,1,Washington,2.0,16,38,38,38
1962,20020,69.0,2,1.0,1.0,1.0,Real Bed,f,t,House,strict,t,2,2,23,1,Washington,2.0,0,0,30,305
1963,20020,399.0,2,1.0,1.0,1.0,Real Bed,f,f,Townhouse,flexible,f,1,1,0,2,Washington,2.0,0,0,0,0
1964,20020,70.0,2,1.5,1.0,1.0,Real Bed,f,f,House,flexible,f,1,1,22,1,"Washington, D.C.",2.0,23,53,83,358
1965,20020,60.0,2,2.0,1.0,1.0,Real Bed,f,t,House,strict,t,6,6,36,1,Washington,2.0,23,49,49,49
1966,20019,50.0,2,2.0,1.0,1.0,Real Bed,f,t,House,flexible,f,1,1,0,1,Washington,2.0,30,60,90,365
1967,20020,54.0,2,2.0,1.0,1.0,Real Bed,f,t,House,strict,t,6,6,61,1,Washington,2.0,20,43,43,43
1968,20020,85.0,4,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,1,2,Washington,4.0,30,60,90,365
1971,20020,45.0,1,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,8,8,0,1,Washington,1.0,30,60,90,365
1973,20020,55.0,2,1.0,1.0,1.0,Real Bed,f,t,House,strict,t,6,6,67,2,Washington,2.0,6,22,22,22
1976,20020,50.0,1,1.0,1.0,1.0,Real Bed,f,t,House,strict,f,2,2,0,14,Washington,1.0,0,0,30,305
1977,20020,89.0,2,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,8,8,0,1,Washington,2.0,28,58,88,88
1979,20020,105.0,4,1.0,1.0,2.0,Real Bed,f,t,House,strict,t,2,2,31,1,Washington,2.0,0,0,4,138
1981,20020,79.0,2,1.0,1.0,1.0,Real Bed,f,t,House,strict,f,8,8,0,1,Washington,2.0,30,60,90,365
1982,20020,59.0,2,1.0,1.0,2.0,Real Bed,f,t,House,strict,f,8,8,0,1,Washington,1.0,23,46,76,351
1986,20002,53.0,2,1.5,1.0,1.0,Real Bed,f,t,House,strict,t,1,1,35,2,Washington,2.0,10,37,67,335
1989,20002,90.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,1,1,0,1,Washington,2.0,30,60,90,365
1991,20002,90.0,1,1.0,1.0,1.0,Real Bed,f,f,Loft,flexible,f,2,2,22,1,Washington,1.0,23,53,83,83
1999,20002,100.0,1,1.0,1.0,1.0,Futon,f,f,House,moderate,f,1,1,21,2,Washington,1.0,28,58,88,363
2006,20002,90.0,2,1.5,1.0,1.0,Real Bed,f,t,House,flexible,f,2,2,0,1,Washington,2.0,0,0,0,0
2012,20002,99.0,2,2.0,1.0,1.0,Real Bed,f,t,House,moderate,f,2,2,47,2,Washington,2.0,26,56,86,361
2030,20002,70.0,2,1.0,1.0,1.0,Real Bed,f,f,House,flexible,f,1,1,0,1,Washington,2.0,25,55,85,360
2032,20001,120.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,strict,t,2,2,8,2,Washington,2.0,26,56,86,361
2038,20002,85.0,2,1.0,1.0,1.0,Real Bed,f,t,House,moderate,f,2,2,18,3,Washington,2.0,4,22,52,153
2042,20002,90.0,2,2.0,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,2,2,10,1,Washington,2.0,10,30,60,335
2045,20002,85.0,2,1.0,1.0,1.0,Real Bed,f,t,House,flexible,t,3,5,180,1,Washington,2.0,12,42,72,347
2051,20002,95.0,2,1.0,1.0,1.0,Real Bed,f,f,House,flexible,f,1,1,0,1,Washington,2.0,29,59,89,364
2056,20002,62.0,2,1.0,1.0,1.0,Real Bed,f,t,House,flexible,t,3,4,4,1,Washington,2.0,10,40,70,345
2061,20002,120.0,4,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,2,2,2,2,Washington,4.0,13,43,73,344
2062,20002,55.0,2,1.0,1.0,1.0,Real Bed,f,t,Condominium,flexible,f,1,1,2,1,Washington,2.0,2,27,57,328
2063,20002,59.0,2,1.5,1.0,1.0,Real Bed,t,t,House,moderate,f,3,6,1,6,Washington,2.0,0,0,0,275
2065,20002,79.0,2,1.5,1.0,1.0,Real Bed,t,t,House,moderate,f,3,6,10,6,Washington,2.0,0,0,14,289
2066,20002,85.0,2,1.0,1.0,1.0,Real Bed,t,t,House,moderate,f,2,2,29,1,Washington,2.0,9,39,69,341
2068,20002,70.0,2,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,1,1,0,1,Washington,2.0,1,31,55,330
2070,20002,72.0,2,1.5,1.0,1.0,Real Bed,t,t,House,flexible,f,2,2,1,2,Washington,2.0,7,28,49,324
2071,20002,89.0,4,1.0,1.0,2.0,Real Bed,f,t,House,strict,f,2,2,21,1,Washington,2.0,10,25,30,30
2072,20002,75.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,1,2,Washington,2.0,0,0,0,0
2074,20002,85.0,2,2.5,1.0,1.0,Real Bed,f,t,House,moderate,f,1,1,76,2,Washington,2.0,25,55,85,360
2075,20002,189.0,2,1.0,1.0,1.0,Real Bed,f,t,House,moderate,t,2,2,4,1,Washington,2.0,30,60,90,365
2076,20002,69.0,2,1.5,1.0,1.0,Real Bed,f,t,House,strict,f,1,4,28,3,Washington,2.0,25,54,54,179
2077,20002,118.0,2,1.0,1.0,1.0,Real Bed,f,t,House,flexible,f,1,1,10,12,Washington,2.0,0,0,19,294
2078,20002,75.0,2,1.0,1.0,1.0,Real Bed,t,f,House,flexible,f,3,3,318,2,Washington,2.0,1,14,27,279
2079,20002,79.0,2,1.0,1.0,1.0,Real Bed,t,f,House,flexible,f,1,1,74,1,Washington,2.0,4,21,51,318
2080,20002,77.0,2,1.5,1.0,1.0,Real Bed,t,t,House,strict,f,2,2,8,3,Washington,2.0,2,18,40,309
2081,20002,84.0,2,1.0,1.0,1.0,Real Bed,t,t,Apartment,moderate,f,1,1,28,2,Washington,2.0,0,0,0,0
2082,20002,95.0,2,1.0,1.0,1.0,Real Bed,f,t,House,flexible,t,3,5,61,1,Washington,2.0,21,51,81,356
2090,20002,75.0,2,1.0,1.0,1.0,Real Bed,f,t,House,strict,f,2,2,0,1,Washington,2.0,16,43,73,348
2093,20002,137.0,4,1.0,1.0,2.0,Real Bed,t,t,Apartment,strict,f,1,2,28,1,Washington,2.0,14,36,56,136
2094,20001,98.0,4,1.0,1.0,1.0,Real Bed,f,t,House,strict,f,1,1,28,3,Washington,4.0,0,0,0,257
