,zipcode,price,accommodates,bathrooms,bedrooms,beds,bed_type,host_is_superhost,host_identity_verified,property_type,cancellation_policy,instant_bookable,calculated_host_listings_count,host_total_listings_count,number_of_reviews,minimum_nights,city,comfort,availability_30,availability_60,availability_90,availability_365
1122,20008,176.0,3,1.0,1.0,3.0,Real Bed,t,t,Apartment,strict,f,1,1,20,1,Washington,1.0,0,2,32,307
1123,20008,495.0,6,2.5,2.0,3.0,Real Bed,f,t,Apartment,strict,f,27,30,27,3,Washington,2.0,4,25,55,319
1127,20005,65.0,1,1.0,1.0,1.0,Real Bed,f,f,Apartment,strict,f,1,1,1,1,Washington,1.0,0,0,0,274
1128,20009,110.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,t,1,1,4,2,Washington,2.0,2,2,2,2
1129,20005,105.0,1,1.0,0.0,1.0,Real Bed,f,t,Apartment,flexible,t,1,1,9,5,Washington,1.0,5,29,59,334
1130,20009,119.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,10,1,Washington,2.0,11,11,11,220
1131,20009,99.0,2,1.0,0.0,1.0,Real Bed,f,t,House,strict,f,1,3,0,1,Washington,2.0,0,0,0,272
1132,20009,225.0,6,1.5,2.0,3.0,Real Bed,f,t,House,strict,f,41,49,18,3,"Washington, D.C.",2.0,26,56,86,361
1134,20009,140.0,3,1.0,0.0,1.0,Real Bed,t,t,Apartment,moderate,t,2,2,1,2,Washington,3.0,19,49,70,329
1135,20009,125.0,2,1.5,1.0,1.0,Real Bed,f,t,Apartment,flexible,f,2,2,0,3,Washington,2.0,5,22,52,52
1136,20009,250.0,4,1.0,2.0,2.0,Real Bed,f,t,Apartment,flexible,f,1,1,1,1,Washington,2.0,0,0,7,60
1137,20005,90.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,flexible,f,1,1,0,1,Washington,2.0,2,2,2,271
1139,20036,200.0,4,1.0,1.0,2.0,Real Bed,f,f,Condominium,moderate,f,1,1,4,1,Washington,2.0,0,0,0,272
1140,20005,215.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,strict,f,4,4,65,2,Washington,2.0,0,24,54,54
1141,20008,135.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,t,1,1,26,2,Washington,3.0,10,33,63,338
1144,20037,259.0,4,1.0,1.0,1.0,Real Bed,f,t,Apartment,super_strict_30,f,5,480,1,4,Washington,4.0,30,60,90,365
1145,20037,125.0,2,1.0,1.0,1.0,Real Bed,f,t,Apartment,strict,f,1,1,5,27,Washington,2.0,5,5,20,295
1150,20009,149.0,3,1.0,1.0,1.0,Real Bed,f,t,Apartment,moderate,t,2,2,46,2,Washington,3.0,3,26,51,326
1151,20005,168.0,4,1.0,1.0,2.0,Real Bed,f,t,Apartment,moderate,f,4,4,150,1,"Washington, D.C.",2.0,2,15,35,304
1153,20009,120.0,2,1.0,1.0,1.0,Real Bed,f,f,Apartment,moderate,f,1,1,0,1,Washington,2.0,0,6,36,311
1154,20005,120.0,2,1.0,0.0,2.0,Real Bed,f,t,Apartment,moderate,f,1,1,6,1,Washington,1.0,0,27,57,147
1155,20008,121.0,2,1.0,1.0,1.0,Real Bed,f,t,Loft,flexible,f,1,2,1,2,Washington,2.0,8,8,35,310
1156,20037,229.0,2,1.0,0.0,1.0,Airbed,f,f,Apartment,flexible,f,1,1,0,1,Washington,2.0,0,30,60,335
1157,20009,85.0,2,1.0,0.0,1.0,Real Bed,f,t,Apartment,strict,t,7,8,55,1,Washington,2.0,5,9,39,314
1158,20036,300.0,3,1.0,0.0,1.0,Real Bed,f,t,Apartment,strict,f,2,2,14,2,Washington,3.0,30,60,90,365
1159,20009,75.0,2,1.0,0.0,1.0,Real Bed,f,t,Condominium,strict,f,1,1,4,1,Washington,2.0,3,6,36,311
